comp_1,comp_2,smile_1,smile_2
CHEBI:9657,CHEBI:34810,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
CHEBI:9657,CHEBI:37476,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
CHEBI:9657,CHEBI:48242,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,O=[Cr]O[Cr]=O
CHEBI:9657,CHEBI:48510,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,O(S(C(F)(F)F)(=O)=O)*
CHEBI:9657,CHEBI:7728,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,CCCCCCCCN
CHEBI:9921,CHEBI:100636,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
CHEBI:9921,CHEBI:118,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,COc1cc2OC[C@@H]3[C@@H](Oc4cc(O)ccc34)c2cc1OC
CHEBI:9921,CHEBI:119602,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC3CCCC3)O[C@H]1CN(C)S(=O)(=O)C4=CC=CC=C4OC)[C@H](C)CO
CHEBI:9921,CHEBI:124254,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:9921,CHEBI:15555,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O
